trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.9, 'e': 0.8337120858870376}",20,7,20.095908595763817,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.8253356149096783}",25,12,23.904697550651917,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.8167734469008229}",25,0,41.352537817439725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.8080275083121519}",20,12,15.184387182695831,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.7990997669429512}",20,8,19.749957710178837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.7899922314973652}",20,0,30.829623637932638,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.9, 'e': 0.7807069511324469}",25,15,17.10466720595694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.7712460149971067}",30,12,25.214729803985435,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.7616115517620617}",20,2,25.151027221011404,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.751805729140895}",25,9,28.83995591146669,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.7418307534023282}",30,11,30.690426642425795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.7316888688738209}",25,12,20.088781760521982,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.7213823574366063}",25,10,28.07967972726488,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.7109135380122773}",25,15,21.809857545943512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.7002847660410397}",20,10,17.69957289505719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.6894984329517471}",30,18,23.431982019917974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.6785569656238399}",20,0,25.023231420988083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.6674628258413081}",25,8,28.22693964508084,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.6562185097387997}",20,8,12.38087026398597,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.6448265472400012}",20,0,33.159583330306724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.9, 'e': 0.6332895014884152}",25,0,38.29001124679986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.9, 'e': 0.6216099682706645}",30,17,23.93919245077355,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.9, 'e': 0.6097905754324502}",20,12,16.7947930381972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
